[2024-11-22T11:45:53.007+0000] {logging_mixin.py:190} INFO - EST ESTAR
[2024-11-22T11:45:53.007+0000] {logging_mixin.py:190} INFO - ETL EUROTEL
[2024-11-22T11:45:53.008+0000] {logging_mixin.py:190} INFO - EUC EUCO
[2024-11-22T11:45:53.008+0000] {logging_mixin.py:190} INFO - EUR EUROCASH
[2024-11-22T11:45:53.008+0000] {logging_mixin.py:190} INFO - FAB FABRITY
[2024-11-22T11:45:53.008+0000] {logging_mixin.py:190} INFO - FEE FEERUM
[2024-11-22T11:45:53.009+0000] {logging_mixin.py:190} INFO - FER FERRUM
[2024-11-22T11:45:53.009+0000] {logging_mixin.py:190} INFO - FFI FASTFIN
[2024-11-22T11:45:53.009+0000] {logging_mixin.py:190} INFO - FRO FERRO
[2024-11-22T11:45:53.010+0000] {logging_mixin.py:190} INFO - FSG FASING
[2024-11-22T11:45:53.010+0000] {logging_mixin.py:190} INFO - FTE FORTE
[2024-11-22T11:45:53.010+0000] {logging_mixin.py:190} INFO - GEA GRENEVIA
[2024-11-22T11:45:53.010+0000] {logging_mixin.py:190} INFO - GIF GAMFACTOR
[2024-11-22T11:45:53.011+0000] {logging_mixin.py:190} INFO - GIG GIGROUP
[2024-11-22T11:45:53.011+0000] {logging_mixin.py:190} INFO - GKI IMMOBILE
[2024-11-22T11:45:53.011+0000] {logging_mixin.py:190} INFO - GMT GENOMTEC
[2024-11-22T11:45:53.012+0000] {logging_mixin.py:190} INFO - GOB GOBARTO
[2024-11-22T11:45:53.012+0000] {logging_mixin.py:190} INFO - GOP GAMEOPS
[2024-11-22T11:45:53.012+0000] {logging_mixin.py:190} INFO - GPP GRUPRACUJ
[2024-11-22T11:45:53.013+0000] {logging_mixin.py:190} INFO - GRN GRODNO
[2024-11-22T11:45:53.013+0000] {logging_mixin.py:190} INFO - GRX GREENX
[2024-11-22T11:45:53.014+0000] {logging_mixin.py:190} INFO - GTN GETIN
[2024-11-22T11:45:53.014+0000] {logging_mixin.py:190} INFO - HDR HYDROTOR
[2024-11-22T11:45:53.014+0000] {logging_mixin.py:190} INFO - HEL HELIO
[2024-11-22T11:45:53.015+0000] {logging_mixin.py:190} INFO - HLD HOLLYWOOD
[2024-11-22T11:45:53.015+0000] {logging_mixin.py:190} INFO - HMI HMINWEST
[2024-11-22T11:45:53.016+0000] {logging_mixin.py:190} INFO - HRP HARPER
[2024-11-22T11:45:53.016+0000] {logging_mixin.py:190} INFO - HRS HERKULES
